BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457776.22731588	0.999413	0.007163	1.149837	444.673973	2457776.230046	403021.698176	510.319019	518.679058	9.98561
2458019.38896055	0.970079	0.002826	5.090452	638.924638	2458019.382535	638107.86966	523.147682	523.581249	4.727993
2458019.39036053	0.971632	0.002857	4.945575	636.5000	2458019.383935	638033.509432	523.248313	524.193144	4.888286
2458019.39174951	0.967387	0.002800	4.809416	638.017493	2458019.385324	638493.259004	523.370245	525.040261	4.693826
2458019.39315049	0.970871	0.002867	4.679151	636.951429	2458019.386725	637159.162506	523.397237	525.178175	4.895497
2458019.39453848	0.974313	0.002898	4.556435	636.652997	2458019.388113	637816.317285	523.313205	525.55514	4.803774
2458019.39593946	0.970141	0.002852	4.438763	635.024845	2458019.389514	637872.844157	522.552808	525.680687	4.74181
2458019.39732844	0.973609	0.002847	4.327668	632.433225	2458019.390903	640002.071591	522.587909	526.304322	4.783018
2458019.39872842	0.971880	0.002867	4.220917	633.934169	2458019.392303	639196.812703	522.773766	526.595313	4.83076
2458019.40011740	0.972936	0.002873	4.119929	634.16875	2458019.393692	636850.860584	523.483924	526.73397	4.798345
2458019.40151838	0.970431	0.002842	4.022702	636.504587	2458019.395093	637044.071487	523.367675	527.127075	4.776628
2458019.40291836	0.967595	0.002857	3.929804	640.583578	2458019.396493	634982.445673	524.046965	527.407377	4.898833
2458019.40430734	0.967765	0.002893	3.841680	642.988571	2458019.397882	630624.755875	523.710651	527.118788	5.044014
2458019.40570732	0.970560	0.002878	3.756739	641.851735	2458019.399282	630441.333106	523.956275	527.447821	4.862785
2458019.40710830	0.971632	0.002888	3.675554	638.081633	2458019.400683	633758.351544	524.425876	527.881339	4.873683
2458019.40849729	0.969484	0.002898	3.598331	635.780059	2458019.402072	635899.306668	524.664101	527.955696	4.950459
2458019.40989727	0.968071	0.002862	3.523593	635.52819	2458019.403472	635874.605183	525.273757	528.156435	4.855654
2458019.41128625	0.966611	0.002888	3.452399	636.826087	2458019.404861	638696.788748	525.647859	528.6288	4.867799
2458019.41268723	0.970674	0.002862	3.383401	633.036517	2458019.406262	638007.412526	526.090062	528.589804	4.885262
2458019.41407521	0.970886	0.002893	3.317587	633.471761	2458019.40765	635776.95563	526.477615	528.463843	4.908917
2458019.41547619	0.973666	0.002961	3.253721	635.006173	2458019.409051	635897.440527	526.105376	528.622642	4.991956
2458019.41687617	0.968904	0.002955	3.192229	636.93865	2458019.410451	634022.291105	527.066711	528.921932	5.129559
2458019.41826515	0.967812	0.002971	3.133467	638.040462	2458019.41184	634086.593205	527.187131	528.939115	5.09606
2458019.41966613	0.973562	0.002930	3.076342	635.458967	2458019.413241	631413.369653	527.420971	529.425637	4.995002
2458019.42106611	0.976067	0.002935	3.021246	632.688427	2458019.414641	631235.364487	526.860533	529.540633	4.975594
2458019.42245510	0.969308	0.002940	2.968509	633.809816	2458019.41603	630946.059121	527.593465	529.428862	5.034136
2458019.42385608	0.971575	0.002940	2.917158	635.374613	2458019.417431	630035.037102	527.738411	529.319964	5.022078
2458019.42524406	0.970136	0.002971	2.867957	638.774775	2458019.418819	628917.503112	527.462722	529.44916	5.117381
2458019.42664504	0.975943	0.002992	2.820002	640.053968	2458019.42022	628767.212239	527.524137	529.405815	5.068564
2458019.42804502	0.977936	0.003085	2.773632	635.977918	2458019.42162	625828.589649	527.394903	529.230081	5.375024
2458019.42944600	0.980824	0.003162	2.728775	638.009804	2458019.423021	626029.58777	527.910228	529.338634	5.56155
2458019.43083498	0.985089	0.003183	2.685715	637.437126	2458019.42441	626537.760565	528.332332	529.318777	5.595349
2458019.43223496	0.985301	0.003157	2.643670	639.615385	2458019.42581	624346.096875	528.222707	529.21454	5.456138
2458019.43362394	0.982113	0.003100	2.603276	638.738994	2458019.427199	625990.356745	528.491401	529.31629	5.305991
2458019.43502492	0.984131	0.003090	2.563801	638.045584	2458019.4286	624286.336541	528.462233	529.188332	5.27552
2458019.43642490	0.992387	0.003033	2.525534	637.04451	2458019.43	621872.959124	528.742649	529.350984	5.155364
2458019.43781388	0.989421	0.003085	2.488725	638.536145	2458019.431389	622169.550537	528.917444	529.409438	5.270813
2458019.43921386	0.992107	0.003043	2.452713	637.991098	2458019.432789	622042.414639	528.429908	529.327679	5.176787
