BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457596.31639578	0.969934	0.002347	1.307640	394.047926	2457596.310301	847741.303663	518.576862	504.818966	5.681761
2457596.31778476	0.972426	0.002393	1.304157	392.68298	2457596.31169	846872.310962	518.088625	504.820622	5.874405
2457596.31918474	0.973974	0.002341	1.300762	393.295607	2457596.31309	847615.441218	517.017959	505.338939	5.641252
2457596.32057372	0.974583	0.002306	1.297508	391.462942	2457596.314479	846458.997096	516.632348	505.831502	5.506705
2457596.32197469	0.975542	0.002365	1.294342	388.074003	2457596.31588	847453.565047	517.005179	506.507816	5.623254
2457596.32336367	0.970820	0.002394	1.291314	388.38684	2457596.317269	850674.287853	515.993874	506.947396	5.826081
2457596.32476365	0.983522	0.002454	1.288372	387.382357	2457596.318669	854234.577925	514.870842	507.21998	5.868173
2457596.32616363	0.970896	0.002307	1.285541	389.019795	2457596.320069	852179.718024	514.398332	507.489189	5.589534
2457596.32755260	0.979876	0.002317	1.282841	383.529328	2457596.321458	857416.504782	513.586776	508.195272	5.617948
2457596.32895358	0.975549	0.002258	1.280227	381.8952	2457596.322859	859978.67047	513.528466	508.534265	5.547859
2457596.33034256	0.990282	0.002562	1.277741	382.045823	2457596.324248	862517.282532	512.630271	509.253896	6.147347
2457596.33174253	0.993195	0.002442	1.275340	381.705401	2457596.325648	841942.092988	511.435461	509.892455	5.980724
2457596.33313151	0.994787	0.002442	1.273063	383.109831	2457596.327037	847091.747928	511.095298	510.448797	6.057403
2457596.33453249	0.997083	0.002434	1.270871	382.19502	2457596.328438	851149.267722	510.433165	511.40924	5.965842
2457596.33592047	1.000698	0.002439	1.268799	390.034606	2457596.329826	853739.781209	510.00277	512.351398	5.890648
2457596.33732144	1.003012	0.002483	1.266813	400.265695	2457596.331227	852108.570472	509.355539	513.104468	5.967552
2457596.33871042	0.998433	0.002410	1.264945	408.467015	2457596.332616	853408.896101	508.907561	514.246389	5.749104
2457596.34011040	0.999450	0.002444	1.263161	416.170483	2457596.334016	857471.199394	507.723856	515.043377	5.841782
2457596.34151138	1.003556	0.002429	1.261479	407.281787	2457596.335417	858239.582663	507.003202	515.593142	5.815065
2457596.34290035	0.999453	0.002585	1.259909	510.172801	2457596.336806	837809.436346	505.824978	516.42722	5.895159
2457596.34430033	0.990372	0.002863	1.258425	740.504023	2457596.338206	806679.948907	505.06744	517.177338	5.699611
2457596.34568931	0.983798	0.003501	1.257051	1018.568357	2457596.339595	739990.302181	504.14244	517.98135	5.863592
2457596.34708928	0.990904	0.003220	1.255763	919.286032	2457596.340995	744567.129581	503.532109	518.460108	5.763576
2457596.34849026	0.989308	0.002900	1.254574	778.728046	2457596.342396	767276.000465	502.7966	519.74532	5.433576
2457596.34987924	0.994042	0.002899	1.253490	701.576265	2457596.343785	770279.888667	502.395798	520.957134	5.646111
2457596.35127922	0.993191	0.002945	1.252494	670.22289	2457596.345185	778338.678427	501.604724	521.86558	5.834461
2457596.35268019	0.993290	0.002514	1.251595	513.431087	2457596.346586	818494.98805	501.266725	522.328572	5.537409
2457596.35406917	1.003814	0.002372	1.250798	400.68557	2457596.347975	847689.019748	500.489682	522.734082	5.629201
2457596.35546915	1.001928	0.002354	1.250090	370.196276	2457596.349375	860090.952961	498.792019	524.004861	5.717815
2457596.35685812	0.998491	0.002319	1.249482	361.562288	2457596.350764	864383.366213	497.256026	524.663876	5.738519
2457596.35825810	1.005177	0.002390	1.248964	356.265165	2457596.352164	866952.004959	496.287123	525.312144	5.926128
2457596.35964708	1.006218	0.002439	1.248545	351.141672	2457596.353553	861183.469936	496.172917	526.59549	6.213809
2457596.23598006	0.986625	0.004606	1.797287	2872.869647	2457596.229884	797145.74083	517.481998	512.091759	5.862526
2457596.23738103	0.983403	0.004181	1.781320	2173.897744	2457596.231285	796541.047813	517.748497	511.804481	5.819028
2457596.23877001	0.982876	0.003713	1.765891	1678.33364	2457596.232674	794476.788861	518.443419	511.744441	5.683409
2457596.24018199	0.995527	0.003509	1.750607	1326.908578	2457596.234086	793331.522273	518.186471	511.522638	5.875484
2457596.24157097	0.985456	0.003295	1.735956	1088.761736	2457596.235475	791006.726163	518.49683	511.121804	5.874094
2457596.24297095	0.988249	0.002976	1.721556	912.35066	2457596.236875	793075.461389	518.636799	511.089916	5.617755
2457596.24435993	0.993753	0.002962	1.707633	788.136738	2457596.238264	794199.721125	519.116188	510.62582	5.760239
2457596.24575990	0.982300	0.002831	1.693946	710.492678	2457596.239664	795004.597719	518.821277	510.293049	5.730915
2457596.24714888	0.985823	0.002724	1.680710	644.167332	2457596.241053	793638.675268	519.083043	510.222105	5.683343
2457596.24854986	0.984868	0.002678	1.667695	604.557009	2457596.242454	795838.131542	519.403168	510.042305	5.655593
2457596.24993884	0.982328	0.002635	1.655106	562.320019	2457596.243843	799153.579688	520.111051	510.009005	5.592159
2457596.25133882	0.975048	0.002557	1.642724	537.42229	2457596.245243	800808.243625	520.328832	509.496904	5.580072
2457596.25272780	0.972294	0.002565	1.630746	516.306013	2457596.246632	802543.286126	521.037469	509.263437	5.603957
2457596.25412777	0.971050	0.002548	1.618964	498.059314	2457596.248032	807073.138657	521.340362	508.702879	5.669872
2457596.25551675	0.970195	0.002497	1.607565	491.005159	2457596.249421	805545.57707	521.713753	508.142986	5.604759
2457596.25691773	0.964432	0.002535	1.596350	489.856453	2457596.250822	807645.885374	522.333604	507.638068	5.692433
2457596.25831771	0.964189	0.002577	1.585409	490.008464	2457596.252222	805821.294903	522.188105	507.631063	5.881761
2457596.25970669	0.957587	0.002513	1.574821	489.118794	2457596.253611	809453.489534	521.509467	507.537245	5.780807
