BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457480.59208287	0.998229	0.002365	1.631519	301.982776	2457480.587593	454889.661536	546.17845	488.350372	5.606778
2457480.59347083	0.998345	0.002346	1.643885	315.27454	2457480.588981	456505.880748	546.177467	487.52805	5.490783
2457480.59487178	1.001662	0.002410	1.656581	336.132251	2457480.590382	445253.596876	546.283751	486.785849	5.52345
2457480.59626074	1.002349	0.002377	1.669401	363.154159	2457480.591771	449409.798924	546.491839	486.380628	5.293002
2457480.59766069	1.003553	0.002431	1.682566	412.27113	2457480.593171	447449.938422	546.994482	485.549745	5.266353
2457480.59904964	0.999579	0.002498	1.695862	476.209425	2457480.59456	447919.436519	547.049098	484.69223	5.366561
2457480.60045060	1.004299	0.002697	1.709516	575.973002	2457480.595961	440137.770403	547.293305	483.902338	5.533335
2457480.60183955	1.008853	0.002813	1.723309	723.561178	2457480.59735	437922.990298	547.468741	482.935737	5.329248
2457480.60323951	1.005850	0.003132	1.737477	943.276728	2457480.59875	434080.999239	547.437474	482.026703	5.564258
2457480.60462846	1.004316	0.003273	1.751790	1253.162091	2457480.600139	433726.794928	547.933427	481.428586	5.486491
2457480.60602841	1.005458	0.003619	1.766495	1721.085907	2457480.601539	434681.290135	548.253128	480.401492	5.380767
2457520.37099446	0.980269	0.002055	1.100200	367.996917	2457520.368519	552208.376889	574.957275	599.59314	6.060493
2457520.37273034	0.978823	0.002045	1.104145	363.501331	2457520.370255	552485.225867	574.343072	599.405358	6.019293
2457520.37447723	0.977311	0.002039	1.108215	363.73618	2457520.372002	551852.779928	573.9018	599.400226	5.831607
2457520.37621311	0.976129	0.002025	1.112356	361.475803	2457520.373738	553210.58081	573.496879	599.40117	5.741427
2457520.37796100	0.971451	0.001983	1.116626	359.877511	2457520.375486	555757.379886	572.627164	599.760816	5.531013
2457520.37969689	0.970751	0.002072	1.120969	362.581228	2457520.377222	549456.712208	572.078782	600.170448	6.119112
2457520.38144477	0.973841	0.002175	1.125445	365.409475	2457520.37897	543703.508588	572.383362	600.077273	6.588305
2457520.38319266	0.977389	0.002070	1.130026	366.500756	2457520.380718	546773.836224	572.084898	599.975885	5.939611
2457520.38492854	0.977937	0.002057	1.134683	366.091288	2457520.382454	541199.560979	571.358913	599.941258	6.030778
2457520.38667543	0.975751	0.002131	1.139479	365.027881	2457520.384201	537850.727687	570.42005	599.92758	6.444326
2457520.38841232	0.978406	0.002197	1.144353	361.672014	2457520.385938	539043.039395	570.006543	599.978858	6.69168
2457520.39015920	0.981023	0.002147	1.149372	356.957817	2457520.387685	537299.665967	569.669495	600.110527	6.561953
2457520.39189509	0.982585	0.002214	1.154469	356.345442	2457520.389421	535180.273795	569.577187	600.26503	6.724527
2457520.39364297	0.980532	0.002219	1.159717	359.485185	2457520.391169	534097.962121	569.289132	600.325047	6.901298
2457520.39539086	0.980112	0.002195	1.165082	357.704923	2457520.392917	535998.587853	568.602989	600.41235	6.832069
2457520.39712674	0.981159	0.002246	1.170529	352.984633	2457520.394653	537919.362589	568.536671	600.365148	7.015956
2457520.39887363	0.981075	0.002343	1.176134	350.124837	2457520.3964	538466.678522	568.234103	600.561725	7.4105
2457520.40061052	0.987242	0.002281	1.181825	350.055817	2457520.398137	537999.980446	567.795976	600.318073	7.116446
2457520.40235740	0.986156	0.002140	1.187679	346.072474	2457520.399884	541127.621974	568.011443	600.040059	6.476696
2457520.40409329	0.992271	0.002167	1.193620	348.454238	2457520.40162	537829.323739	567.999315	600.53876	6.43778
2457520.40584117	0.997895	0.002187	1.199731	346.72271	2457520.403368	536301.093287	567.584925	600.825088	6.405235
2457520.40757706	0.996959	0.002185	1.205933	344.990925	2457520.405104	538975.28851	566.833618	600.630232	6.487542
2457520.40932494	1.001324	0.002166	1.212311	347.884876	2457520.406852	533479.283306	566.673595	600.722405	6.251328
2457520.41107283	1.004114	0.002057	1.218825	347.40265	2457520.4086	534685.779464	566.783522	601.040187	5.625084
2457520.41280872	1.000910	0.002035	1.225435	352.145068	2457520.410336	534209.010485	566.93871	600.91891	5.486755
2457520.41455560	0.998625	0.002048	1.232232	350.125041	2457520.412083	537887.124951	566.994964	600.858948	5.653482
2457520.41629149	0.999481	0.002102	1.239127	360.92471	2457520.413819	533670.004553	566.67019	600.732476	5.909428
2457520.41803937	1.000962	0.002131	1.246215	368.557243	2457520.415567	528689.222156	566.131567	600.649816	5.95347
2457520.41977526	0.995481	0.002205	1.253406	381.964204	2457520.417303	522876.651325	565.757084	600.53138	6.229973
2457520.42852468	0.985979	0.002451	1.292018	442.633309	2457520.426053	489295.25905	564.179362	600.67014	6.560712
2457520.43026057	0.986163	0.002487	1.300172	456.266595	2457520.427789	482977.004761	564.079325	600.517068	6.736236
2457520.43200845	0.985332	0.002480	1.308553	468.314144	2457520.429537	479607.737224	563.954857	599.960776	6.33636
2457520.43375634	0.984542	0.002518	1.317112	472.838675	2457520.431285	471966.538716	564.004275	599.899692	6.384456
2457520.43549223	0.991114	0.002688	1.325792	484.210027	2457520.433021	455697.874478	563.487412	600.107269	6.816897
2457520.43724011	0.988324	0.002724	1.334715	500.564697	2457520.434769	446097.649581	563.690217	599.676694	6.71269
2457520.43897600	0.986823	0.002814	1.343766	524.947358	2457520.436505	434186.318498	563.332529	599.421507	6.821012
2457520.44072288	0.988504	0.002836	1.353069	533.425328	2457520.438252	424108.55027	562.600218	599.946208	6.616531
2457520.44245877	0.989916	0.002995	1.362505	549.315984	2457520.439988	409626.691429	562.217454	599.716442	6.905387
2457520.44420665	0.989062	0.003062	1.372205	571.235211	2457520.441736	399373.727909	561.673214	599.62454	6.657974
2457520.44595454	0.989784	0.003177	1.382111	596.463004	2457520.443484	385208.722807	561.852275	599.468673	6.692659
2457776.44703155	0.992542	0.003448	1.242900	134.396118	2457776.443183	178262.758015	515.285977	512.615099	4.904509
2457776.44854763	0.988911	0.003496	1.236802	136.501468	2457776.444699	178551.660861	515.64102	513.156351	5.120192
2457776.45005270	0.990861	0.003533	1.230859	136.142405	2457776.446204	178642.130527	515.523796	513.235868	5.12478
2457776.45156878	0.999807	0.003532	1.224978	133.424183	2457776.44772	177950.097661	515.820026	513.308964	5.13385
